product_name,brands,brands_tags,categories,categories_tags,categories_en,origins,origins_tags,origins_en,countries,countries_tags,countries_en,image_url,image_ingredients_url,image_nutrition_url,energy-kcal_100g,fat_100g,saturated-fat_100g,unsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,salt_100g,added-salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-b12_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,cocoa_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
Organic Quinoa,"Kirkland Signature,Kirkland,Costco","kirkland-signature,kirkland,costco","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Quinoa","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:quinoa","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Quinoa","Pérou,Peru","en:peru,en:perou","Peru,Perou","France,Japan,United States,en:united-states","en:france,en:japan,en:united-states","France,Japan,United States",https://images.openfoodfacts.org/images/products/009/661/953/3602/front_en.24.400.jpg,https://images.openfoodfacts.org/images/products/009/661/953/3602/ingredients_en.41.400.jpg,https://images.openfoodfacts.org/images/products/009/661/953/3602/nutrition_en.37.400.jpg,364.0,2.5,0.0,,,,,,,28.0,2.0,,,,,,3.0,,,6.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.25,,,,0.002,,,,,,,,,,,,,
Organic Soymilk,"Kirkland Signature,Costco Companies Inc.","kirkland-signature,costco-companies-inc","Plant-based foods and beverages, Beverages, Plant-based foods, Legumes and their products, Dairies-substitutes, Plant-based beverages, Milk substitutes, Plant milks, Legume milks, Soy milks","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:plant-based-beverages,en:milk-substitutes,en:plant-milks,en:legume-milks,en:soy-milks","Plant-based foods and beverages,Beverages,Plant-based foods,Legumes and their products,Dairy substitutes,Plant-based beverages,Milk substitutes,Plant milks,Legume milks,Soy milks",,,,"Japan,United States","en:japan,en:united-states","Japan,United States",https://images.openfoodfacts.org/images/products/009/661/999/8609/front_en.19.400.jpg,https://images.openfoodfacts.org/images/products/009/661/999/8609/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/009/661/999/8609/nutrition_en.10.400.jpg,42.0,1.67,0.21,,,,,0.0,0.0,3.33,2.5,,,,,,0.4,,,3.33,0.115,,0.046,,9e-05,,6e-06,,,0.0,,0.0004,,,,1.2e-06,,0.36,,0.39,0.25,0.0015,0.042,0.009,,,,,,,,,,,
Crunch nestle,,,,,,,,,en:Japan,en:japan,Japan,https://images.openfoodfacts.org/images/products/009/990/072/2181/front_en.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGH PROTEIN ICED COFFEE Herbalife,Herbalife,herbalife,"Groceries,Dietary supplements,Bodybuilding supplements,Supplement","en:groceries,en:dietary-supplements,en:bodybuilding-supplements,en:supplement","Groceries,Dietary supplements,Bodybuilding supplements,Supplement",mondo,mondo,Mondo,"France,Italy,Spain,United Kingdom,United States,Argentina - Español,Armenia - Pyсский,Aruba - Español,Asia Pacific,Australia - English,Austria - Deutsch,Azerbaijan - Русский,Belarus - Pyсский,Belgium - Français,Belgium - Nederlands,Bolivia - Español,Bosnia i Hercegovina - Bosnian,Botswana - English,Brazil - Português,Bulgaria - български,Cambodia - English,Cambodia - ភាសាខ្មែរ,Canada - English,Canada - Français,Chile - Español,China - 中文,Colombia - Español,Costa Rica - Español,Croatia - Hrvatski,Cyprus - Ελληνικά,Czech Republic - Čeština,Denmark - Dansk,Ecuador - Español,El Salvador - Español,Estonia - Eesti,Europe,Finland - Suomi,France - Français,Georgia - ქართული,Germany - Deutsch,Ghana - English,Greece - Ελληνικά,Guatemala - Español,Honduras - Español,Hong Kong - 粵語,Hungary - Magyar,Iceland - Íslenska,India - English,Indonesia - Bahasa Indonesia,Ireland - English,Israel - עברית,Italy - Italiano,Jamaica - English,Japan - 日本語,Kazakhstan - Pyсский,Korea - 한국어,Kyrgyzstan - Русский,Latvia - Latviešu,Lebanon - English,Lesotho - English,Lithuania - lietuvių,Macau - 中文,Malaysia - Bahasa Melayu,Malaysia - English,Malaysia - 中文,Mexico - Español,Middle East & Africa,Moldova - Român,Mongolia - Монгол хэл,Namibia - English,Netherlands - Nederlands,New Zealand - English,Nicaragua - Español,North Macedonia - македонски јазик,Norway - Norsk,Panamá - Español,Paraguay - Español,Perú - Español,Philippines - English,Poland - Polski,Portugal - Português,Puerto Rico - Español,República Dominicana - Español,Romania - Română,Russia - Русский,Serbia - Srpski,Singapore - English,Slovak Republic - Slovenčina,Slovenia - Slovene,South Africa -English,Spain - Español,Swaziland - English,Sweden - Svenska,Switzerland - Deutsch,Switzerland - Français,Taiwan - 中文,Thailand - ไทย,Trinidad & Tobago - English,Turkey - Türkçe,Ukraine - Yкраї́нська,United Kingdom - English,United States - English,United States - Español,Uruguay - Español,Venezuela - Español,Vietnam - Tiếng Việt,Zambia - English","en:france,en:italy,en:spain,en:united-kingdom,en:united-states,en:argentina-espanol,en:armenia-pyсский,en:aruba-espanol,en:asia-pacific,en:australia-english,en:austria-deutsch,en:azerbaijan-русский,en:belarus-pyсский,en:belgium-francais,en:belgium-nederlands,en:bolivia-espanol,en:bosnia-i-hercegovina-bosnian,en:botswana-english,en:brazil-portugues,en:bulgaria-български,en:cambodia-english,en:cambodia-ភាសាខ្មែរ,en:canada-english,en:canada-francais,en:chile-espanol,en:china-中文,en:colombia-espanol,en:costa-rica-espanol,en:croatia-hrvatski,en:cyprus-ελληνικά,en:czech-republic-čeština,en:denmark-dansk,en:ecuador-espanol,en:el-salvador-espanol,en:estonia-eesti,en:europe,en:finland-suomi,en:france-francais,en:georgia-ქართული,en:germany-deutsch,en:ghana-english,en:greece-ελληνικά,en:guatemala-espanol,en:honduras-espanol,en:hong-kong-粵語,en:hungary-magyar,en:iceland-islenska,en:india-english,en:indonesia-bahasa-indonesia,en:ireland-english,en:israel-עברית,en:italy-italiano,en:jamaica-english,en:japan-日本語,en:kazakhstan-pyсский,en:korea-한국어,en:kyrgyzstan-русский,en:latvia-latviešu,en:lebanon-english,en:lesotho-english,en:lithuania-lietuvių,en:macau-中文,en:malaysia-bahasa-melayu,en:malaysia-english,en:malaysia-中文,en:mexico-espanol,en:middle-east-africa,en:moldova-roman,en:mongolia-монгол-хэл,en:namibia-english,en:netherlands-nederlands,en:new-zealand-english,en:nicaragua-espanol,en:north-macedonia-македонски-јазик,en:norway-norsk,en:panama-espanol,en:paraguay-espanol,en:peru-espanol,en:philippines-english,en:poland-polski,en:portugal-portugues,en:puerto-rico-espanol,en:republica-dominicana-espanol,en:romania-romană,en:russia-русский,en:serbia-srpski,en:singapore-english,en:slovak-republic-slovenčina,en:slovenia-slovene,en:south-africa-english,en:spain-espanol,en:swaziland-english,en:sweden-svenska,en:switzerland-deutsch,en:switzerland-francais,en:taiwan-中文,en:thailand-ไทย,en:trinidad-tobago-english,en:turkey-turkce,en:ukraine-yкраї́нська,en:united-kingdom-english,en:united-states-english,en:united-states-espanol,en:uruguay-espanol,en:venezuela-espanol,en:vietnam-tiếng-việt,en:zambia-english","France,Italy,Spain,United Kingdom,United States,Argentina-espanol,Armenia-pyсский,Aruba-espanol,Asia-pacific,Australia-english,Austria-deutsch,Azerbaijan-русский,Belarus-pyсский,Belgium-francais,Belgium-nederlands,Bolivia-espanol,Bosnia-i-hercegovina-bosnian,Botswana-english,Brazil-portugues,Bulgaria-български,Cambodia-english,Cambodia-ភាសាខ្មែរ,Canada-english,Canada-francais,Chile-espanol,China-中文,Colombia-espanol,Costa-rica-espanol,Croatia-hrvatski,Cyprus-ελληνικά,Czech-republic-čeština,Denmark-dansk,Ecuador-espanol,El-salvador-espanol,Estonia-eesti,Europe,Finland-suomi,France-francais,Georgia-ქართული,Germany-deutsch,Ghana-english,Greece-ελληνικά,Guatemala-espanol,Honduras-espanol,Hong-kong-粵語,Hungary-magyar,Iceland-islenska,India-english,Indonesia-bahasa-indonesia,Ireland-english,Israel-עברית,Italy-italiano,Jamaica-english,Japan-日本語,Kazakhstan-pyсский,Korea-한국어,Kyrgyzstan-русский,Latvia-latviešu,Lebanon-english,Lesotho-english,Lithuania-lietuvių,Macau-中文,Malaysia-bahasa-melayu,Malaysia-english,Malaysia-中文,Mexico-espanol,Middle-east-africa,Moldova-roman,Mongolia-монгол-хэл,Namibia-english,Netherlands-nederlands,New-zealand-english,Nicaragua-espanol,North-macedonia-македонски-јазик,Norway-norsk,Panama-espanol,Paraguay-espanol,Peru-espanol,Philippines-english,Poland-polski,Portugal-portugues,Puerto-rico-espanol,Republica-dominicana-espanol,Romania-romană,Russia-русский,Serbia-srpski,Singapore-english,Slovak-republic-slovenčina,Slovenia-slovene,South-africa-english,Spain-espanol,Swaziland-english,Sweden-svenska,Switzerland-deutsch,Switzerland-francais,Taiwan-中文,Thailand-ไทย,Trinidad-tobago-english,Turkey-turkce,Ukraine-yкраї́нська,United-kingdom-english,United-states-english,United-states-espanol,Uruguay-espanol,Venezuela-espanol,Vietnam-tiếng-việt,Zambia-english",https://images.openfoodfacts.org/images/products/invalid/front_es.12.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en:Japan,en:japan,Japan,,https://images.openfoodfacts.org/images/products/01975316/ingredients_ja.4.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シインクル,,,"en:Plant-based foods and beverages, en:Plant-based foods, en:Cereals and potatoes, en:Breads, en:White breads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:white-breads","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,White breads",,,,en:Japan,en:japan,Japan,,https://images.openfoodfacts.org/images/products/020/748/150/3024/ingredients_ja.7.400.jpg,,419.0,15.7,,,,,,,,61.7,,,,,,,,,,8.9,1.39,,0.556,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teriyaki Chicken Salad and Egg Salad,Topvalu,topvalu,en:Sandwiches,en:sandwiches,Sandwiches,,,,Japan,en:japan,Japan,,https://images.openfoodfacts.org/images/products/022/451/233/1050/ingredients_ja.7.400.jpg,,294.0,14.4,,,,,,,,27.8,,,,,,,,,,13.3,2.4,,0.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直火で揚げた具材をたっぷり包んだ春巻き,サミット,サミット,,,,,,,Japan,en:japan,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焙煎にんにく,,,en:Meals,en:meals,Meals,,,,en:Japan,en:japan,Japan,,https://images.openfoodfacts.org/images/products/027/603/100/5370/ingredients_ja.7.400.jpg,,151.0,5.52,,,,,,,,17.9,,,,,,,,,,6.2,0.52,,0.208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
プリプリおつまみ海老天,,,"en:Seafood, en:Meals, en:Crustaceans, en:Shrimps, en:Prawns, en:Fried foods","en:seafood,en:meals,en:crustaceans,en:shrimps,en:prawns,en:fried-foods","Seafood,Meals,Crustaceans,Shrimps,Prawns,Fried foods",,,,en:Japan,en:japan,Japan,,https://images.openfoodfacts.org/images/products/028/067/310/3868/ingredients_ja.7.400.jpg,,245.0,17.1,,,,,,,,16.6,,,,,,,,,,6.1,0.9,,0.36,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
